config_id,gap,u,v,direct,formula,absolute_error,minimum_state_branch_margin
delta0.5_K32_radius0.125_transverse,-2.0,0.742255197475409,0.757744802524591,-1.998730582036987,-1.998730582036987,0.0,0.35962090295805677
delta0.5_K32_radius0.125_transverse,-2.0,0.75,0.742255197475409,-1.999140840536508,-1.999140840536508,0.0,0.38417309052636656
delta0.5_K32_radius0.125_transverse,-2.0,0.75,0.75,-1.9990040877033344,-1.9990040877033344,0.0,0.38417309052636656
delta0.5_K32_radius0.125_transverse,-2.0,0.75,0.757744802524591,-1.9988673348701607,-1.9988673348701607,0.0,0.3720004936175207
delta0.5_K32_radius0.125_transverse,-2.0,0.757744802524591,0.742255197475409,-1.9992775933696818,-1.9992775933696818,0.0,0.38417095302540344
delta0.5_K32_radius0.125_transverse,-2.0,0.757744802524591,0.75,-1.999140840536508,-1.999140840536508,0.0,0.38417095302540344
delta0.5_K32_radius0.125_transverse,-2.0,0.757744802524591,0.757744802524591,-1.9990040877033344,-1.9990040877033344,0.0,0.38417095302540344
delta0.5_K32_radius0.125_transverse,-0.5,0.742255197475409,0.742255197475409,-0.49990352018305934,-0.4999035201830594,5.551115123125783e-17,0.39588878561634133
delta0.5_K32_radius0.125_transverse,-0.5,0.742255197475409,0.75,-0.4997666421132631,-0.4997666421132631,0.0,0.3837029017291714
delta0.5_K32_radius0.125_transverse,-0.5,0.742255197475409,0.757744802524591,-0.4996297640434669,-0.4996297640434669,0.0,0.3713119739874235
delta0.5_K32_radius0.125_transverse,-0.5,0.75,0.742255197475409,-0.5000403982528556,-0.5000403982528556,0.0,0.3915152427873324
delta0.5_K32_radius0.125_transverse,-0.5,0.75,0.75,-0.4999035201830594,-0.4999035201830594,0.0,0.39588664615788016
delta0.5_K32_radius0.125_transverse,-0.5,0.75,0.757744802524591,-0.49976664211326316,-0.4997666421132631,5.551115123125783e-17,0.3837029017291716
delta0.5_K32_radius0.125_transverse,-0.5,0.757744802524591,0.742255197475409,-0.5001772763226519,-0.500177276322652,1.1102230246251565e-16,0.3791243150455845
delta0.5_K32_radius0.125_transverse,-0.5,0.757744802524591,0.75,-0.5000403982528556,-0.5000403982528556,0.0,0.39151524278733263
delta0.5_K32_radius0.125_transverse,-0.5,0.757744802524591,0.757744802524591,-0.4999035201830594,-0.4999035201830594,0.0,0.395884506699419
delta0.5_K32_radius0.125_transverse,0.0,0.742255197475409,0.742255197475409,0.0,0.0,0.0,0.3997949436302835
delta0.5_K32_radius0.125_transverse,0.0,0.742255197475409,0.75,0.000136886424340614,0.00013688642434061364,3.5236570605778894e-19,0.38760831596065437
delta0.5_K32_radius0.125_transverse,0.0,0.742255197475409,0.757744802524591,0.000273772848681228,0.00027377284868122727,7.047314121155779e-19,0.37521663192130894
delta0.5_K32_radius0.125_transverse,0.0,0.75,0.742255197475409,-0.000136886424340614,-0.00013688642434061364,3.5236570605778894e-19,0.38760831596065437
delta0.5_K32_radius0.125_transverse,0.0,0.75,0.75,0.0,0.0,0.0,0.3997928040412375
delta0.5_K32_radius0.125_transverse,0.0,0.75,0.757744802524591,0.000136886424340614,0.00013688642434061364,3.5236570605778894e-19,0.3876083159606546
delta0.5_K32_radius0.125_transverse,0.0,0.757744802524591,0.742255197475409,-0.000273772848681228,-0.00027377284868122727,7.047314121155779e-19,0.37521663192130894
delta0.5_K32_radius0.125_transverse,0.0,0.757744802524591,0.75,-0.000136886424340614,-0.00013688642434061364,3.5236570605778894e-19,0.3876083159606546
delta0.5_K32_radius0.125_transverse,0.0,0.757744802524591,0.757744802524591,0.0,0.0,0.0,0.39979066445219147
delta0.5_K32_radius0.125_transverse,0.5,0.742255197475409,0.742255197475409,0.49990352018305934,0.4999035201830594,5.551115123125783e-17,0.39588878561634133
delta0.5_K32_radius0.125_transverse,0.5,0.742255197475409,0.75,0.5000403982528556,0.5000403982528556,0.0,0.3915152427873324
delta0.5_K32_radius0.125_transverse,0.5,0.742255197475409,0.757744802524591,0.5001772763226519,0.500177276322652,1.1102230246251565e-16,0.3791243150455845
delta0.5_K32_radius0.125_transverse,0.5,0.75,0.742255197475409,0.4997666421132631,0.4997666421132631,0.0,0.3837029017291714
delta0.5_K32_radius0.125_transverse,0.5,0.75,0.75,0.4999035201830594,0.4999035201830594,0.0,0.39588664615788016
delta0.5_K32_radius0.125_transverse,0.5,0.75,0.757744802524591,0.5000403982528556,0.5000403982528556,0.0,0.39151524278733263
delta0.5_K32_radius0.125_transverse,0.5,0.757744802524591,0.742255197475409,0.4996297640434669,0.4996297640434669,0.0,0.3713119739874235
delta0.5_K32_radius0.125_transverse,0.5,0.757744802524591,0.75,0.49976664211326316,0.4997666421132631,5.551115123125783e-17,0.3837029017291716
delta0.5_K32_radius0.125_transverse,0.5,0.757744802524591,0.757744802524591,0.4999035201830594,0.4999035201830594,0.0,0.395884506699419
delta0.5_K32_radius0.125_transverse,2.0,0.742255197475409,0.742255197475409,1.9990040877033344,1.9990040877033344,0.0,0.38417522802732973
delta0.5_K32_radius0.125_transverse,2.0,0.742255197475409,0.75,1.999140840536508,1.999140840536508,0.0,0.38417309052636656
